table: 24E10B40
	helicopter_snipers_drills | table: 53C62B20
			101674 | table: 541F2800
				__name | ElementUnitSequence
				_values | table: 53C33A60
					enabled | true
					on_executed | table: 53C33A80 (empty)
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-3175, -21650, 7750)
					execute_on_startup | true
					trigger_list | table: 53C33AA0
						1 | table: 53C33AC0
							notify_unit_sequence | interaction_off
							name | run_sequence
							notify_unit_id | 101470
							id | 1
							time | 0
				_id | 101674
				_unit | [Unit '@ID67768423451632b3@' Vector3(-3175, -21650, 7750) 54202A00] --core/units/run_sequence_dummy/run_sequence_dummy
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541F2820 (empty)
				_editor_name | func_sequence_027
				_element_group | ElementUnitSequence
				_enabled_by_default | true
			101690 | table: 541F2C40
				__name | ElementLogicChance
				_values | table: 53C33C40
					enabled | true
					on_executed | table: 53C33C60
						1 | table: 53C33C80
							delay | 0
							id | 101691
						2 | table: 53C33CA0
							delay | 0
							id | 101703
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-2400, -21800, 7149.48)
					execute_on_startup | false
					chance | 100
				_chance | 100
				_id | 101690
				_triggers | table: 541F2CC0 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541F2C60 (empty)
				_editor_name | logic_chance_002
				_element_group | ElementLogicChance
			101706 | table: 541F3700
				__name | ElementUnitSequenceTrigger
				_values | table: 53C803E0
					enabled | true
					on_executed | table: 53C80400
						1 | table: 53C80420
							delay | 0
							id | 101705
						2 | table: 53C80440
							delay | 0
							id | 101707
					debug | false
					sequence_list | table: 53C80460
						1 | table: 53C80480
							sequence | cought
							unit_id | 100225
					trigger_times | 1
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-3825, -23175, 7650)
					execute_on_startup | false
				_has_active_callback | true
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541F3720 (empty)
				_editor_name | func_sequence_trigger_016
				_element_group | ElementUnitSequenceTrigger
				_id | 101706
			101722 | table: 542506E0
				__name | MissionScriptElement
				_values | table: 53C80EA0
					enabled | true
					on_executed | table: 53C80EC0
						1 | table: 53C80EE0
							delay | 0
							id | 101727
						2 | table: 53C80F00
							delay | 0
							id | 101726
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-125, -2200, 5900)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54250700 (empty)
				_editor_name | logic_link_064_escorts
				_element_group | MissionScriptElement
				_id | 101722
			101738 | table: 54251160
				__name | ElementSpawnCivilian
				_values | table: 53C81620
					enabled | true
					on_executed | table: 53C81640
						1 | table: 53C81660
							delay | 0
							id | 101808
					debug | false
					trigger_times | 1
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-172.382, 0, -0)
					position | Vector3(-1968, -10214, 5793.17)
					execute_on_startup | false
					state | none
					force_pickup | none
					enemy | units/characters/civilians/prisoner_3/prisoner_3
				_enemy_name | Idstring(@ID12158400a71477e7@) --units/characters/civilians/prisoner_3/prisoner_3
				_id | 101738
				_units | table: 54251200 (empty)
				_events | table: 54251220 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54251180 (empty)
				_editor_name | ai_spawn_civilian_050
				_element_group | ElementSpawnCivilian
			101754 | table: 54251760
				__name | ElementSpawnCivilian
				_values | table: 53C81A20
					enabled | true
					on_executed | table: 53C81A40 (empty)
					debug | false
					trigger_times | 1
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-180, 0, -0)
					position | Vector3(-4100, -21600, 6520.48)
					execute_on_startup | false
					state | stand_idle1
					force_pickup | none
					enemy | units/characters/civilians/builder_3/builder_3
				_enemy_name | Idstring(@IDfc293dde83830827@) --units/characters/civilians/builder_3/builder_3
				_id | 101754
				_units | table: 54251800 (empty)
				_events | table: 54251820 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54251780 (empty)
				_editor_name | ai_spawn_civilian_054
				_element_group | ElementSpawnCivilian
			101786 | table: 54252BA0
				__name | ElementPlayEffect
				_values | table: 53C82AE0
					enabled | true
					base_time | 0
					debug | false
					effect | effects/particles/fire/medium_light_fire
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-90, 0, -0)
					random_time | 0
					position | Vector3(-2225, -3325, 5679.67)
					execute_on_startup | false
					screen_space | false
					on_executed | table: 53C82B00 (empty)
					max_amount | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54252BC0 (empty)
				_editor_name | env_effect_play_017
				_element_group | ElementPlayEffect
				_id | 101786
			101802 | table: 542534E0
				__name | ElementSpecialObjective
				_values | table: 53C83400
					on_executed | table: 53C83420 (empty)
					path_style | destination
					interaction_voice | default
					use_instigator | true
					patrol_path | none
					execute_on_startup | false
					pose | none
					repeatable | false
					enabled | true
					debug | false
					access_flag_version | 1
					follow_up_id | 101803
					path_haste | none
					rotation | Rotation(-135, 0, -0)
					base_chance | 1
					interrupt_on | none
					position | Vector3(-550, -10100, 5792.53)
					chance_inc | 0
					SO_access | 1835011
					so_action | spawn_prisonvan_var4
					trigger_times | 0
					search_distance | 0
					trigger_on | none
					search_position | Vector3(-550, -10125, 5792.53)
					execute_on_restart | false
					base_delay | 0
					align_rotation | false
					align_position | false
					scan | true
					path_stance | none
					is_navigation_link | false
					interval | -1
					attitude | none
					ai_group | civilians
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54253500 (empty)
				_editor_name | point_special_objective_074
				_events | table: 54253560 (empty)
				_id | 101802
			101834 | table: 542802C0
				__name | ElementUnitSequenceTrigger
				_values | table: 53CB0340
					enabled | true
					on_executed | table: 53CB0360
						1 | table: 53CB0380
							delay | 0
							id | 101844
					debug | false
					sequence_list | table: 53CB03A0
						1 | table: 53CB03C0
							sequence | kill_light_bulb
							unit_id | 100951
					trigger_times | 1
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-3550, -23850, 6800)
					execute_on_startup | false
				_has_active_callback | true
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542802E0 (empty)
				_editor_name | func_sequence_trigger_032
				_element_group | ElementUnitSequenceTrigger
				_id | 101834
			101850 | table: 54280A20
				__name | ElementDifficultyLevelCheck
				_values | table: 53CB0CC0
					enabled | true
					on_executed | table: 53CB0CE0
						1 | table: 53CB0D00
							delay | 0
							id | 101848
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					difficulty | normal
					position | Vector3(-3175, -46775, 3575)
					execute_on_startup | false
					rotation | Rotation(-180, -1.21624e-010, -3.44008e-011)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54280A40 (empty)
				_editor_name | func_diff_level_check_001
				_element_group | ElementDifficultyLevelCheck
				_id | 101850
			101866 | table: 54281780
				__name | ElementUnitSequence
				_values | table: 53CB14A0
					enabled | true
					on_executed | table: 53CB14C0 (empty)
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-3050, -2625, 6225)
					execute_on_startup | true
					trigger_list | table: 53CB14E0
						1 | table: 53CB1500
							notify_unit_sequence | hide
							name | run_sequence
							notify_unit_id | 101857
							id | 1
							time | 0
						2 | table: 53CB1520
							notify_unit_sequence | hide
							name | run_sequence
							notify_unit_id | 100386
							id | 2
							time | 0
						3 | table: 53CB1540
							notify_unit_sequence | hide
							name | run_sequence
							notify_unit_id | 101864
							id | 3
							time | 0
						4 | table: 53CB1580
							notify_unit_sequence | hide
							name | run_sequence
							notify_unit_id | 101856
							id | 4
							time | 0
						5 | table: 53CB15A0
							notify_unit_sequence | hide
							name | run_sequence
							notify_unit_id | 100013
							id | 5
							time | 0
				_id | 101866
				_unit | [Unit '@ID67768423451632b3@' Vector3(-3050, -2625, 6225) 54243300] --core/units/run_sequence_dummy/run_sequence_dummy
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542817A0 (empty)
				_editor_name | func_sequence_042
				_element_group | ElementUnitSequence
				_enabled_by_default | true
			101898 | table: 542829C0
				__name | ElementSpecialObjective
				_values | table: 53CB2320
					so_action | so_slide_under_low_obj
					on_executed | table: 53CB2340 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(-1887.19, -27706.7, 5721.05)
					search_distance | 0
					patrol_path | none
					scan | true
					SO_access | 255956
					rotation | Rotation(-15.5074, 0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | 10
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | true
					base_delay | 0
					align_rotation | true
					align_position | false
					interrupt_on | none
					position | Vector3(-2078.49, -28329.6, 5709.23)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542829E0 (empty)
				_editor_name | point_special_objective_088
				_events | table: 54282A40 (empty)
				_id | 101898
			101914 | table: 542830C0
				__name | ElementSpecialObjective
				_values | table: 53CB2980
					so_action | so_slide_under_low_obj
					on_executed | table: 53CB29A0 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(-1155, -33046.8, 5618.52)
					search_distance | 0
					patrol_path | none
					scan | true
					SO_access | 255956
					rotation | Rotation(30.1665, -0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | 16
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | true
					base_delay | 0
					align_rotation | true
					align_position | false
					interrupt_on | none
					position | Vector3(-816, -33667, 5606.41)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542830E0 (empty)
				_editor_name | point_special_objective_097
				_events | table: 54283140 (empty)
				_id | 101914
			101930 | table: 54290580
				__name | ElementAreaTrigger
				_values | table: 53CB3AA0
					on_executed | table: 53CB3AC0
						1 | table: 53CB3AE0
							delay | 0
							id | 101932
						2 | table: 53CB3B00
							delay | 0
							id | 102083
					trigger_times | 1
					execute_on_restart | false
					spawn_unit_elements | table: 53CB3B20 (empty)
					amount | 1
					interval | 0.10000000149012
					enabled | false
					debug | false
					instigator | escorts
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					width | 3388.3400878906
					position | Vector3(-1300, -13225, 6087.58)
					height | 595
					depth | 1193.1800537109
					trigger_on | on_enter
					execute_on_startup | false
				_id | 101930
				_shape | table: 54290620
					_type | box_middle
					_name | false
					_bounding_radius_sq | 8610637
					_position | Vector3(-1300, -13225, 6087.58)
					_rotation | Rotation(0, 0, -0)
					_properties | table: 54290640
						height | 595
						depth | 1193.1800537109
						width | 3388.3400878906
					_center_pos | Vector3(-1300, -13225, 6087.58)
				_element_group | ElementAreaTrigger
				_last_project_amount_all | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542905A0 (empty)
				_editor_name | trigger_area_029
				_inside | table: 54290660 (empty)
				_enabled_by_default | false
			101946 | table: 54291100
				__name | ElementSpecialObjectiveTrigger
				_values | table: 53CF03A0
					enabled | true
					on_executed | table: 53CF03E0
						1 | table: 53CF0400
							delay | 0
							id | 101947
					elements | table: 53CF03C0
						1 | 101626
					trigger_times | 0
					event | administered
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-3425, -22125, 7175)
					execute_on_startup | false
					debug | false
					execute_on_restart | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54291120 (empty)
				_editor_name | trigger_special_objective_014
				_element_group | ElementSpecialObjectiveTrigger
				_id | 101946
			101962 | table: 54291EA0
				__name | ElementSpecialObjectiveTrigger
				_values | table: 53CF1040
					enabled | true
					on_executed | table: 53CF1080
						1 | table: 53CF10A0
							delay | 0
							id | 101961
					elements | table: 53CF1060
						1 | 101602
					trigger_times | 0
					event | administered
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(5025, -27650, 7650)
					execute_on_startup | false
					debug | false
					execute_on_restart | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54291EC0 (empty)
				_editor_name | trigger_special_objective_016
				_element_group | ElementSpecialObjectiveTrigger
				_id | 101962
			101978 | table: 54292DC0
				__name | ElementTeammateComment
				_values | table: 53CF1B20
					enabled | true
					on_executed | table: 53CF1B40 (empty)
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					use_instigator | false
					position | Vector3(-3800, -47300, 4575)
					execute_on_startup | false
					radius | 0
					close_to_element | false
					comment | g28
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54292DE0 (empty)
				_editor_name | point_teammate_comment_057
				_element_group | ElementTeammateComment
				_id | 101978
			101994 | table: 542D3BC0
				__name | ElementDialogue
				_values | table: 53D41900
					enabled | true
					on_executed | table: 53D41920 (empty)
					debug | false
					dialogue | bri_ban_15
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1650, -37200, 5775)
					execute_on_startup | false
					trigger_times | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D3BE0 (empty)
				_editor_name | bri_ban_15
				_element_group | ElementDialogue
				_id | 101994
			102010 | table: 542D02A0
				__name | ElementTeammateComment
				_values | table: 53CF2AE0
					enabled | true
					on_executed | table: 53CF2B00
						1 | table: 53CF2B20
							delay | 0
							id | 101842
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					use_instigator | false
					position | Vector3(-225, -10100, 6002.58)
					execute_on_startup | false
					radius | 4
					close_to_element | true
					comment | g29
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D02C0 (empty)
				_editor_name | point_teammate_comment_070
				_element_group | ElementTeammateComment
				_id | 102010
			102058 | table: 542D1C40
				__name | ElementDifficultyLevelCheck
				_values | table: 53CF3EE0
					enabled | true
					on_executed | table: 53CF3F00
						1 | table: 53CF3F20
							delay | 0
							id | 102055
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					difficulty | overkill
					position | Vector3(3108, -9512, 8050)
					execute_on_startup | false
					rotation | Rotation(90, -0.000128091, -0.000512208)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D1C60 (empty)
				_editor_name | func_diff_level_check_005
				_element_group | ElementDifficultyLevelCheck
				_id | 102058
			102074 | table: 542D2700
				__name | ElementDialogue
				_values | table: 53D407A0
					enabled | true
					on_executed | table: 53D407C0
						1 | table: 53D407E0
							delay | 0
							id | 102076
					debug | false
					dialogue | bri_ban_22
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1925, -10200, 6100)
					execute_on_startup | false
					trigger_times | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D2720 (empty)
				_editor_name | bri_ban_22
				_element_group | ElementDialogue
				_id | 102074
			102090 | table: 542D3040
				__name | ElementDialogue
				_values | table: 53D40FE0
					enabled | true
					on_executed | table: 53D41000
						1 | table: 53D41020
							delay | 10
							id | 102091
					debug | false
					dialogue | bri_ban_47
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1850, -45425, 5700)
					execute_on_startup | false
					trigger_times | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D3060 (empty)
				_editor_name | bri_ban_47
				_element_group | ElementDialogue
				_id | 102090
			102106 | table: 542D39E0
				__name | ElementToggle
				_values | table: 53D41780
					enabled | true
					on_executed | table: 53D417C0 (empty)
					elements | table: 53D417A0
						1 | 102104
						2 | 102105
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1400, -18000, 6400)
					execute_on_startup | false
					toggle | off
					debug | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542D3A00 (empty)
				_editor_name | logic_toggle_060
				_element_group | ElementToggle
				_id | 102106
			100075 | table: 54082B00
				__name | ElementAreaTrigger
				_values | table: 53B134A0
					on_executed | table: 53B134C0
						1 | table: 53B134E0
							delay | 0.1333329975605
							id | 100076
						2 | table: 53B13500
							delay | 0
							id | 100378
						3 | table: 53B13520
							delay | 0
							id | 101476
						4 | table: 53B13560
							delay | 0.20000000298023
							id | 101859
						5 | table: 53B13580
							delay | 1
							id | 101625
						6 | table: 53B13540
							delay | 0
							id | 101845
						7 | table: 53B135A0
							delay | 0
							id | 102250
					trigger_times | 1
					execute_on_restart | false
					spawn_unit_elements | table: 53B135C0 (empty)
					amount | 1
					interval | 0.10000000149012
					enabled | true
					debug | false
					instigator | player
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					width | 2847.3400878906
					position | Vector3(-1400, -11100, 6762.13)
					height | 2847.3400878906
					depth | 2847.3400878906
					trigger_on | on_enter
					execute_on_startup | false
				_id | 100075
				_shape | table: 54082BA0
					_type | box_middle
					_name | false
					_bounding_radius_sq | 6080509.5
					_position | Vector3(-1400, -11100, 6762.13)
					_rotation | Rotation(0, 0, -0)
					_properties | table: 54082BC0
						height | 2847.3400878906
						depth | 2847.3400878906
						width | 2847.3400878906
					_center_pos | Vector3(-1400, -11100, 6762.13)
				_callback | table: 541D3840
					interval | 0.10000000149012
					next | 0.5
					times | -1
					f | function: 541D3820
				_element_group | ElementAreaTrigger
				_last_project_amount_all | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54082B20 (empty)
				_editor_name | trigger_area_003
				_inside | table: 54082BE0 (empty)
				_enabled_by_default | true
			100107 | table: 540836E0 (repeat)
			100123 | table: 540C0060
				__name | MissionScriptElement
				_values | table: 53B30060
					enabled | true
					on_executed | table: 53B30080
						1 | table: 53B300A0
							delay | 0
							id | 100132
						2 | table: 53B300C0
							delay | 0
							id | 100140
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(2800, -9925, 8050)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540C0080 (empty)
				_editor_name | logic_link_005
				_element_group | MissionScriptElement
				_id | 100123
			100139 | table: 540C0AE0
				__name | MissionScriptElement
				_values | table: 53B30A20
					enabled | true
					on_executed | table: 53B30A40
						1 | table: 53B30A60
							delay | 0
							id | 100144
						2 | table: 53B30A80
							delay | 26
							id | 100145
						3 | table: 53B30AA0
							delay | 14
							id | 100268
						4 | table: 53B30AE0
							delay | 40
							id | 100269
						5 | table: 53B30B00
							delay | 16
							id | 101974
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					position | Vector3(-1100, -11650, 8050)
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540C0B00 (empty)
				_editor_name | logic_link_012
				_element_group | MissionScriptElement
				_id | 100139
			100155 | table: 540C1AC0
				__name | ElementSpawnEnemyDummy
				_values | table: 53B31720
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | true
					trigger_times | 0
					position | Vector3(-2195.85, -7745.85, 5777.21)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-135, 0, -0)
					spawn_action | repel_vert
					on_executed | table: 53B31740
						1 | table: 53B31760
							delay | 0
							id | 100565
					amount | 0
					execute_on_startup | false
					accessibility | any
					interval | 5
					enemy | units/characters/enemies/swat/swat
				_enemy_name | Idstring(@ID6a1ac63b209e379a@) --units/characters/enemies/swat/swat
				_id | 100155
				_units | table: 540C1B60 (empty)
				_events | table: 540C1B80 (empty)
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540C1AE0 (empty)
				_editor_name | ai_spawn_enemy_028
				_element_group | ElementSpawnEnemyDummy
			100187 | table: 540C3160
				__name | ElementSpawnCivilian
				_values | table: 53B327C0
					enabled | true
					on_executed | table: 53B327E0
						1 | table: 53B32800
							delay | 0
							id | 101777
					debug | false
					trigger_times | 1
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(151.796, 0, -0)
					position | Vector3(-866, -9568, 5788.79)
					execute_on_startup | false
					state | none
					force_pickup | none
					enemy | units/characters/civilians/escort_guy_2/escort_guy_2
				_enemy_name | Idstring(@IDaaf01f5bcadf54a6@) --units/characters/civilians/escort_guy_2/escort_guy_2
				_id | 100187
				_units | table: 540C3200 (empty)
				_events | table: 540C3220
					spawn | table: 541D2760
						1 | function: 541D2740
					anim_act_02 | table: 541D2260
						1 | function: 541D2200
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540C3180 (empty)
				_editor_name | ai_spawn_civilian_004
				_element_group | ElementSpawnCivilian
			102250 | table: 542F35A0
				__name | ElementFeedback
				_values | table: 53C601C0
					on_executed | table: 53C601E0 (empty)
					camera_shake_attack | 0.10000000149012
					execute_on_restart | false
					above_camera_effect_distance | 0.5
					execute_on_startup | false
					camera_shake_sustain | 4
					use_rumble | true
					enabled | true
					camera_shake_decay | 2.0999999046326
					debug | false
					effect | mission_triggered
					use_camera_shake | true
					trigger_times | 1
					rumble_sustain | 4
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					rumble_release | 2.0999999046326
					rumble_attack | 0.10000000149012
					above_camera_effect | none
					rumble_peak | 1
					camera_shake_amplitude | 2
					range | 5000
					position | Vector3(-1525, -9475, 6100)
				_element_group | ElementFeedback
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 542F35C0 (empty)
				_editor_name | point_feedback_001
				_feedback | table: 542F3640
					_feedback | table: 542F3660
						camera_shake | table: 542F3680
							_type | camera_shake
							_params | table: 542F36A0 (empty)
							_name | mission_triggered
							_enabled | true
						rumble | table: 542F3700
							_type | rumble
							_params | table: 542F3720 (empty)
							_name | mission_triggered
							_enabled | true
						above_camera_effect | table: 542F36C0
							_type | above_camera_effect
							_name | mission_triggered
							_enabled | true
							_offset | Vector3(0, 0, 100)
							_params | table: 542F36E0 (empty)
					_name | mission_triggered
				_id | 102250
			102266 | table: 541D0020
				__name | ElementSpawnEnemyDummy
				_values | table: 53C608C0
					enabled | true
					force_pickup | none
					debug | false
					participate_to_group_ai | true
					trigger_times | 0
					position | Vector3(1250, -21925, 7774.28)
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(90, -0, -0)
					spawn_action | move_ladder_climbover_std
					on_executed | table: 53C608E0
						1 | table: 53C60900
							delay | 0
							id | 101711
					amount | 0
					execute_on_startup | false
					accessibility | any
					interval | 5
					enemy | units/characters/enemies/tank/tank
				_enemy_name | Idstring(@ID3bdf4b192980a559@) --units/characters/enemies/tank/tank
				_id | 102266
				_units | table: 541D00C0 (empty)
				_events | table: 541D00E0
					death | table: 541D34A0
						1 | function: 541D3480
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541D0040 (empty)
				_editor_name | ai_spawn_enemy_164
				_element_group | ElementSpawnEnemyDummy
			100235 | table: 540C39E0 (repeat)
			100251 | table: 540F04A0
				__name | ElementCounter
				_values | table: 53B33BA0
					enabled | true
					on_executed | table: 53B33BC0
						1 | table: 53B33BE0
							delay | 0
							id | 100259
						2 | table: 53B33C00
							delay | 0
							id | 101084
						3 | table: 53B33C20
							delay | 0
							id | 101533
						4 | table: 53B33C60
							delay | 0
							id | 101879
						5 | table: 53B33C80
							delay | 0
							id | 101881
						6 | table: 53B33C40
							delay | 360
							id | 101919
					debug | false
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(90, -0, -0)
					position | Vector3(-4050, -7925, 5825)
					execute_on_startup | false
					counter_target | 1
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540F04C0 (empty)
				_editor_name | logic_counter_001
				_element_group | ElementCounter
				_id | 100251
			100267 | table: 540F0E40
				__name | ElementPlayEffect
				_values | table: 53B50480
					enabled | true
					base_time | 0
					debug | false
					effect | effects/particles/dest/bridge_heli_smoke
					trigger_times | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(0, 0, -0)
					random_time | 0
					position | Vector3(-575, -9750, 5789.98)
					execute_on_startup | false
					screen_space | false
					on_executed | table: 53B504A0 (empty)
					max_amount | 0
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540F0E60 (empty)
				_editor_name | env_effect_play_005
				_element_group | ElementPlayEffect
				_id | 100267
			102330 | table: 541D1700
				__name | ElementFilter
				_values | table: 53C61900
					platform_ps3 | true
					on_executed | table: 53C61920
						1 | table: 53C61940
							delay | 0
							id | 102331
					difficulty_overkill_145 | true
					player_1 | true
					execute_on_restart | false
					difficulty_hard | false
					difficulty_overkill | false
					enabled | true
					debug | false
					platform_win32 | true
					trigger_times | 0
					rotation | Rotation(44.9999, -0, -0)
					mode_control | true
					base_delay | 0
					difficulty_easy | false
					player_2 | true
					player_4 | true
					position | Vector3(-2100, -31175, 6140.06)
					mode_assault | true
					player_3 | true
					difficulty_normal | false
					execute_on_startup | false
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 541D1720 (empty)
				_editor_name | logic_filter_003
				_element_group | ElementFilter
				_id | 102330
			100347 | table: 540F1B00
				__name | ElementScenarioEvent
				_values | table: 53B51100
					enabled | true
					on_executed | table: 53B51120
						1 | table: 53B51140
							delay | 0
							id | 100353
					debug | false
					chance_inc | 0
					execute_on_restart | false
					base_delay | 0
					rotation | Rotation(-180, 0, -0)
					base_chance | 0.5
					amount | 1
					execute_on_startup | false
					trigger_times | 0
					task | assault
					position | Vector3(-1300, -5800, 5775)
				_element_group | ElementScenarioEvent
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 540F1B20 (empty)
				_editor_name | func_scenario_event_001
				_network_execute | true
				_id | 100347
			100379 | table: 54180E80
				__name | ElementSpecialObjective
				_values | table: 53BF06E0
					so_action | so_jump_over_car_back
					on_executed | table: 53BF0700 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(-1916.6, -14962.5, 5809.6)
					search_distance | 0
					patrol_path | none
					scan | false
					SO_access | 255956
					rotation | Rotation(3.07359e-005, -0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | 25
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | true
					base_delay | 0
					align_rotation | true
					align_position | false
					interrupt_on | none
					position | Vector3(-1950, -15825, 5803.73)
					base_chance | 1
					execute_on_startup | false
					attitude | engage
					ai_group | enemies
				_element_group | ElementSpecialObjective
				_mission_script | table: 53D80B40 (repeat)
				_values_extensions | table: 54180EA0 (empty)
				_editor_name | point_special_objective_033
				_events | table: 54180F00 (empty)
				_id | 100379
			100395 | table: 540F27C0
				__name | ElementSpecialObjective
				_values | table: 53B51B60
					so_action | so_hos_jumpdown
					on_executed | table: 53B51B80 (empty)
					trigger_times | 0
					chance_inc | 0
					path_style | destination
					execute_on_restart | false
					use_instigator | false
					search_position | Vector3(-2436.03, -22315.3, 5758.84)
					search_distance | 0
					patrol_path | none
					scan | false
					SO_access | 262140
					rotation | Rotation(-90, 0, -0)
					pose | none
					repeatable | false
					enabled | true
					interval | 4
					debug | false
					access_flag_version | 1
					path_stance | none
					path_haste | none
					is_navigation_link | true
					base_delay | 0
					align_rotation | true
					align_position | false
					interrupt_on | none
